PedNum,SBP,DBP,MAP,ACR,HDL,CHL,TRI,GLU
347,149.0123457,112.3544304,123.7,0,115.4,116,102,437
348,121.3064516,85.03125,96.79365079,0,120.9,123,82,335
349,147.2115385,112.9038462,124.5192308,0,151.6,158,159,267
350,127.7634409,87.9787234,101.4893617,0,148.9,163,195,345
351,148.0487805,113.8554217,125.0952381,43.62935585,136.2,144,147,302
352,87.76190476,53.23809524,64.80952381,0,141.7,154,168,315
353,125.2833333,85.25,98.25,0,145,151,147,295
354,105.2368421,75.55263158,85.15789474,0,146.6,156,121,317
355,76.59259259,53.03571429,60,0,143.1,158,197,290
356,118.5428571,85.17142857,97.36111111,0,125.1,136,181,386
357,110.6666667,70.5,82.76190476,0,160.8,177,126,312
358,124.3,88.87671233,101.5753425,0,137.7,141,101,316
359,114.2923077,82.23880597,93.11940299,15.16842293,120.4,126,143,313
360,85.79166667,55.02040816,65.3877551,0,140,148,116,378
361,90.05882353,53.37142857,64.85714286,0,145.6,155,155,317
362,75.26086957,52.30434783,59.82608696,0,131.5,139,167,343
363,75.0877193,46.91525424,55.92982456,0,134.2,141,153,326
364,132.75,93.41176471,106.4545455,0,91.9,108,82,211
365,74.81395349,44.88636364,54.72727273,0,138.4,144,133,317
366,77.75,45.75,56.25,0,117.6,118,126,318
367,85,55.36842105,64.73684211,0,129.1,135,156,256
368,91.05555556,59.89189189,70.2972973,0,174.8,191,217,374
369,78.47619048,47.36363636,56.76190476,0,149.9,159,175,349
370,114.952381,68.01612903,82.69354839,0,119,123,147,306
371,130.0263158,93.13157895,105.1315789,0,150.8,157,130,317
372,88.58064516,52.29032258,64.03225806,0,132,145,160,253
373,118.0714286,76.43636364,90.70909091,0,151.9,159,159,295
374,121.9482759,79.1,93.05,0,151.4,162,240,422
375,88.26470588,61.73529412,71.23529412,0,162,173,232,325
376,124.2115385,87.56603774,100,0.242841235,176.2,188,112,294
377,135.2166667,102.559322,112.8135593,0,103.4,104,90,350
378,107,75.7962963,86.76363636,0,117,125,102,300
379,110.6666667,92,98,92.84540483,162.5,175,154,335
380,127.2,94.42857143,106.1428571,120.2655668,130.2,138,79,342
381,145.4693878,111.5185185,122.6792453,0,134.2,142,127,283
382,145.0740741,105.8113208,117.0909091,5.742312575,147.7,154,141,332
383,118.96875,90.96666667,98.21875,0,136.8,147,192,359
384,139.6774194,94.34375,109.65625,0,135.5,144,283,397
